region;area;city;settlement;street;house
Ульяновская обл;;г Ульяновск;;ш Московское;90А
Курганская обл;Мишкинский р-н;;рп Мишкино;ул Ленина;6
Пермский край;Верещагинский р-н;г Верещагино;;ул Ярославцева;9
Ростовская обл;Цимлянский р-н;г Цимлянск;;ул Московская;79Г
Кемеровская область - Кузбасс;;г Кемерово;;ул Угловая;310/1
Респ Бурятия;;г Улан-Удэ;;ул Забайкальская;14
Тюменская обл;;г Ишим;;ул Ленина;23
Ставропольский край;Кочубеевский р-н;;с Кочубеевское;ул Почтовая;26А
Владимирская обл;Александровский р-н;г Струнино;;ул Лермонтова;3В
Саратовская обл;Дергачевский р-н;;рп Дергачи;ул Ленина;95
Ярославская обл;;г Переславль-Залесский;;ул Северная;9
Архангельская обл;;г Архангельск;;ш Талажское;1
Иркутская обл;Братский р-н;г Вихоревка;;ул Дзержинского;66А
Челябинская обл;;г Магнитогорск;;ш Белорецкое;9А
Краснодарский край;;г Новороссийск;с Цемдолина;ул Золотая рыбка;1
Забайкальский край;Красночикойский р-н;;с Красный Чикой;ул Первомайская;57Б
Ростовская обл;Сальский р-н;г Сальск;;ул Фрунзе;3
Курская обл;;г Курск;;ул Студенческая;20А
Краснодарский край;Брюховецкий р-н;;ст-ца Брюховецкая;ул О.Кошевого;104
Московская обл;;г Видное;п Развилка;км МКАД 23;41
Краснодарский край;Кавказский р-н;г Кропоткин;;ул Шоссейная;81/2
Кемеровская область - Кузбасс;;г Анжеро-Судженск;п Красная Горка;ул Звеньевая;7А
Алтайский край;Советский р-н;;с Советское;ул Кирова;74
Ленинградская обл;Киришский р-н;г Кириши;;ул Мира;1А
Краснодарский край;;г Краснодар;;ул им. Невкипелого;39
Красноярский край;Абанский р-н;;п Абан;ул Примакова;10А
Респ Алтай;Майминский р-н;;с Майма;ул Энергетиков;29Г
Ставропольский край;Буденновский р-н;г Буденновск;;проезд Тампонажный;8
Новгородская обл;;г Великий Новгород;;ул Рабочая;48
Тульская обл;Алексинский р-н;г Алексин;;ул 50 лет Октября;9
Ярославская обл;;г Ярославль;;пер Софьи Перовской;13
Омская обл;Омский р-н;;с Дружино;ул Придорожная;62
Московская обл;;г Балашиха;мкр Салтыковка;ш Носовихинское;18
Пермский край;;г Пермь;;ул Героев Хасана;100
Московская обл;г Коломна;;;ул Октябрьская;88А
Тульская обл;Куркинский р-н;;рп Куркино;ул Школьная;14А
Московская обл;;г Дубна;;пр-кт Боголюбова;21
г Москва;;;;ш Варшавское;166
Костромская обл;Нейский р-н;г Нея;;ул Крестьянская;2
Новосибирская обл;Ордынский р-н;;рп Ордынское;ул Мира;67
Самарская обл;Большечерниговский р-н;;с Большая Черниговка;ул Дорожная;5
Челябинская обл;Октябрьский р-н;;с Октябрьское;ул Восточная;51
Новосибирская обл;Барабинский р-н;г Барабинск;;ул Луначарского;11
Краснодарский край;Динской р-н;;ст-ца Новотитаровская;ул Крайняя;96/1
Тюменская обл;Викуловский р-н;;с Викулово;ул Автомобилистов;57
Челябинская обл;;г Челябинск;;тракт Свердловский;1А/3
Алтайский край;;г Барнаул;;пр-кт Калинина;45
Свердловская обл;Белоярский р-н;;пгт Белоярский;ул Гагарина;2А
Респ Башкортостан;;г Октябрьский;;ул Северная;19А
Кемеровская область - Кузбасс;Гурьевский р-н;г Гурьевск;;ул Лермонтова;109
Респ Кабардино-Балкарская;;г Прохладный;;ул Магистральная;9
Архангельская обл;Вельский р-н;г Вельск;;ул Кирова;26
Челябинская обл;;г Верхний Уфалей;;ул Уфалейская;7
Респ Коми;;г Ухта;;ул Интернациональная;50А
Иркутская обл;Казачинско-Ленский р-н;;рп Магистральный;мкр 1-й;24
Ростовская обл;;г Ростов-на-Дону;;ул Таганрогская;144А
Владимирская обл;Александровский р-н;г Александров;;ул Карабановский Тупик;4
Краснодарский край;Павловский р-н;;ст-ца Павловская;ул Промышленная;276
Вологодская обл;Сямженский р-н;;с Сямжа;ул Западная;4
Ивановская обл;;г Шуя;;ул Железнодорожная 1-я;1
Челябинская обл;;г Магнитогорск;;ул Калмыкова;70/2
Красноярский край;;г Шарыпово;;ул Транзитная;2
Амурская обл;;г Благовещенск;;ул Кольцевая;45
Краснодарский край;;г Горячий Ключ;;ул Ровная;79
Респ Марий Эл;;г Йошкар-Ола;;ул Строителей;99Г/1
Новосибирская обл;;г Новосибирск;;ул Хилокская;9
Тюменская обл;;г Тобольск;;ул Семена Ремезова;122В
Свердловская обл;Режевский р-н;г Реж;;ул Советская;15
Тюменская обл;;г Тобольск;мкр 9;;24
Свердловская обл;Байкаловский р-н;;с Байкалово;ул Клубная;25
Респ Калмыкия;;г Элиста;;ул В.И.Ленина;266А
Нижегородская обл;;г Нижний Новгород;;ул Кузбасская;1
г Москва;;;;пр-кт Волгоградский;42
Вологодская обл;Харовский р-н;г Харовск;;ул Ленина;5
Кемеровская область - Кузбасс;Мариинский р-н;г Мариинск;;ул Ленина;106
Краснодарский край;;г Краснодар;;ул Уральская;104
Волгоградская обл;;г Волгоград;;пр-кт Волжский;4К
Воронежская обл;Новохопёрский р-н;г Новохопёрск;;ул Плотникова;27
Московская обл;;г Жуковский;;ул Гагарина;85
Омская обл;;г Омск;;ул Машиностроительная;93
Владимирская обл;;г Владимир;;ул Верхняя Дуброва;8
Самарская обл;;г Тольятти;;ул Заставная;40
Нижегородская обл;Павловский р-н;г Павлово;;ул Ломоносова;1
Новгородская обл;;г Великий Новгород;;ул Рабочая;34/6
Свердловская обл;;г Красноуральск;;ул Советская;3
Архангельская обл;;г Северодвинск;;пр-кт Ленина;48/102
Красноярский край;;г Шарыпово;;ул Октябрьская;30
Краснодарский край;Тимашевский р-н;г Тимашевск;;ул 50 лет Октября;100
Самарская обл;Кинель-Черкасский р-н;;с Кинель-Черкассы;ул Калинина;1В
Свердловская обл;Талицкий р-н;;п Троицкий;ул Нахимова;2
Московская обл;;г Балашиха;тер Западная коммунальная зона;ш Энтузиастов;12А
Волгоградская обл;Городищенский р-н;;рп Городище;ул Дорожников;13
Ростовская обл;;г Волгодонск;;ш Ростовское;51
Ростовская обл;;г Волгодонск;;пл Гагарина;59
Краснодарский край;Кавказский р-н;г Кропоткин;;ул Советская;28А
Алтайский край;Шелаболихинский р-н;;с Шелаболиха;ул Ленина;50
Волгоградская обл;;г Волгоград;;ул им. Менделеева;254Б
Новосибирская обл;Чистоозерный р-н;;рп Чистоозерное;ул Сорокина;15
Кировская обл;Малмыжский р-н;;с Калинино;ул Почтовая;10
Респ Удмуртская;;г Глазов;;ул Сулимова;56
Респ Бурятия;;г Улан-Удэ;;ул Ключевская;142А
Ленинградская обл;Тосненский р-н;;д Ям-Ижора;ул Ленинградская;5
Оренбургская обл;Кваркенский р-н;;с Кваркено;ул Советская;40
Ленинградская обл;Гатчинский р-н;г Гатчина;;ш Пушкинское;15А
Смоленская обл;Руднянский р-н;г Рудня;;пер Киреева;2З
Ленинградская обл;Всеволожский р-н;г Всеволожск;;ш Колтушское;276А
Краснодарский край;Динской р-н;;ст-ца Динская;ул Крайняя;8
Московская обл;г Истра;;с Новопетровское;ул Кооперативная;6
г Москва;;;;ул Лавриненко;1
Свердловская обл;Богдановичский р-н;г Богданович;;ул Рокицанская;15А
Волгоградская обл;;г Волгоград;;ул Латвийская;60
Ставропольский край;Буденновский р-н;г Буденновск;;пр-кт Калинина;110
Астраханская обл;;г Астрахань;;ул Станция Кутумная;28
Московская обл;;г Солнечногорск;д Радумля;тер ТехЦентр;49/4
Кемеровская область - Кузбасс;Топкинский р-н;г Топки;;ул Горная;1
Респ Саха /Якутия/;у Оленекский эвенкийский национальный;;с Оленек;ул Заложная;25А
Самарская обл;;г Самара;;ул Победы;3А
Архангельская обл;Вельский р-н;г Вельск;;ул Некрасова;20А
Саратовская обл;Ершовский р-н;г Ершов;;проезд Суворова;8
Ленинградская обл;;г Сосновый Бор;;ул Комсомольская;22А
Пермский край;;г Пермь;;тракт Бродовский;5
Ямало-Ненецкий АО;;г Салехард;;ул Манчинского;23
Чувашская Республика - Чувашия;Ибресинский р-н;;пгт Ибреси;ул Энгельса;47
Архангельская обл;Верхнетоемский р-н;;с Верхняя Тойма;ул Центральная;7
Красноярский край;Иланский р-н;г Иланский;;пер Алгасинский;28
Камчатский край;;г Петропавловск-Камчатский;;ул Высотная;1А
Нижегородская обл;Балахнинский р-н;г Балахна;;ул Карла Либкнехта;76
Томская обл;Верхнекетский р-н;;рп Белый Яр;ул Гагарина;31
Рязанская обл;;г Сасово;;ул Революции;132
Курганская обл;Мишкинский р-н;;рп Мишкино;ул Ленина;15
Новгородская обл;Чудовский р-н;г Чудово;;ул Губина;2А
Ставропольский край;Ипатовский р-н;г Ипатово;;ул Школьная;2
Воронежская обл;Лискинский р-н;;рп Давыдовка;ул Октябрьская;56
г Санкт-Петербург;;;п Шушары;ул Ленина;8
Рязанская обл;Михайловский р-н;г Михайлов;;ул Новая;1А
Респ Башкортостан;Мелеузовский р-н;;с Зирган;ул Октябрьская;271В
Алтайский край;Кытмановский р-н;;с Кытманово;ул Комсомольская;1
Волгоградская обл;Октябрьский р-н;;рп Октябрьский;ул Круглякова;50А
Волгоградская обл;;г Михайловка;;ул Гоголя;33
Новгородская обл;Боровичский р-н;г Боровичи;;ул Советская;130В
Московская обл;;рп Лотошино;;ул Центральная;10
Камчатский край;;г Петропавловск-Камчатский;;ул Вольского;11
Иркутская обл;;г Иркутск;;ул Сурнова;29
Краснодарский край;Тимашевский р-н;г Тимашевск;мкр Индустриальный;ул Волшебная;23
Кировская обл;Омутнинский р-н;г Омутнинск;;ул Трудовых Резервов;98
Кемеровская область - Кузбасс;;г Новокузнецк;р-н Куйбышевский;ул Спасская;56
Вологодская обл;Кирилловский р-н;г Кириллов;;ул Урицкого;9
Кемеровская область - Кузбасс;;г Юрга;;ул Шоссейная;33
Самарская обл;Нефтегорский р-н;г Нефтегорск;;ул Промышленности;2Б
Самарская обл;;г Самара;;ш Южное;14А
Тверская обл;;г Вышний Волочек;;ул Карла Маркса;59Б
Нижегородская обл;;г Арзамас;рп Выездное;ул Юбилейная;2А
Красноярский край;Ермаковский р-н;;с Ермаковское;ул Карла Маркса;118
Респ Бурятия;Мухоршибирский р-н;;с Мухоршибирь;ул Доржиева;36
Архангельская обл;;г Архангельск;;проезд Первый (Кузнечихинский промузел);15
Брянская обл;Дятьковский р-н;г Дятьково;;ул Киевская;38А
Респ Крым;;г Керчь;;ш Куль-Обинское;1
Приморский край;;г Владивосток;;ул Вязовая;1В
Респ Башкортостан;Учалинский р-н;г Учалы;;ул Кунакбаевская;2
Тамбовская обл;;г Уварово;;ул Шоссейная;35А
Алтайский край;;г Барнаул;;ул Георгия Исакова/Попова;248/2
Нижегородская обл;;г Нижний Новгород;;пр-кт Ленина;49В
Свердловская обл;Талицкий р-н;;п Троицкий;ул Энергетиков;11
Ростовская обл;;г Волгодонск;;пр-кт Курчатова;1Г
Московская обл;;г Луховицы;рп Белоомут;ул Урицкого;67А
Московская обл;;рп Шаховская;;ш Рижское;5А
Ульяновская обл;;г Димитровград;;ул Куйбышева;239А
Ярославская обл;Рыбинский р-н;г Рыбинск;;тракт Ярославский;124А
Красноярский край;Курагинский р-н;;пгт Курагино;ул Щетинкина;54Г
Тюменская обл;Ярковский р-н;;с Ярково;ул Строителей;20
г Санкт-Петербург;;;;ул Салова;70
Респ Бурятия;;г Улан-Удэ;;ул Ключевская;67
Респ Башкортостан;Уфимский р-н;;с Булгаково;ул Школьная;43/2
Московская обл;;г Подольск;д Стрелково;;33А
Белгородская обл;Яковлевский р-н;г Строитель;;ул Центральная;9А
Чувашская Республика - Чувашия;;г Чебоксары;;ш Марпосадское;17
Брянская обл;;г Стародуб;;пл Красная;5
Красноярский край;;г Минусинск;;ул Трегубенко;67А
Ростовская обл;;г Ростов-на-Дону;;пр-кт Шолохова;282Б
Краснодарский край;Темрюкский р-н;;п Стрелка;ул Таманская;174
Владимирская обл;Собинский р-н;г Собинка;;ул Чайковского;10
Курская обл;;г Льгов;;ул Л.Толстого;4Г
Краснодарский край;Анапский р-н;г Анапа;;ул Парковая;77
Новгородская обл;;г Великий Новгород;;ул Ломоносова;34
Респ Коми;;г Сыктывкар;;ул Калинина;18
Московская обл;;г Подольск;д Бережки;ул Промышленная;2
Тюменская обл;;г Тюмень;;тракт Ялуторовский 11 км;5
Омская обл;Марьяновский р-н;;рп Марьяновка;ул Омская;70
Хабаровский край;;г Комсомольск-на-Амуре;;ул Павловского;19
Смоленская обл;Демидовский р-н;г Демидов;;ул Руднянская;142
Респ Карелия;Лахденпохский р-н;г Лахденпохья;;ш Ленинградское;38А
Респ Бурятия;;г Улан-Удэ;;ул Мокрова;37
Челябинская обл;Кизильский р-н;;с Кизильское;ул Колхозная;56/1
Костромская обл;Галичский р-н;г Галич;;ул Гладышева;85А
Алтайский край;;г Барнаул;;ул Заринская;1Б/1
Курская обл;;г Курск;;ул Пионеров;1Г
г Санкт-Петербург;;г Пушкин;;ш Красносельское;235
Курская обл;Кореневский р-н;;пгт Коренево;ул Октябрьская;28В
Новосибирская обл;Чановский р-н;;рп Чаны;ул Большевистская;27
Кировская обл;;г Киров;;ул Потребкооперации;17А
Саратовская обл;Ершовский р-н;г Ершов;;ул Телеграфная;21
Красноярский край;;п Солнечный;;ул Солнечная;12А
Белгородская обл;Корочанский р-н;;с Гремячье;ул Сиреневая;22
Пензенская обл;;г Пенза;;ул Саранская;78
Оренбургская обл;;г Орск;;ул Вяземская;35А
Ставропольский край;Минераловодский р-н;г Минеральные Воды;автодорога Автомагистраль Кавказ;;1
г Севастополь;;;тер ТСН СНТ Сапун-гора;ул Летчицы Литвиновой;1
Алтайский край;Хабарский р-н;;с Хабары;ул Ленина;51
Воронежская обл;Семилукский р-н;;с Семилуки;ул Щеголевых;60
г Санкт-Петербург;;;;ул Чугунная;7
Свердловская обл;;г Ирбит;;ул Орджоникидзе;72А
Алтайский край;Родинский р-н;;с Родино;ул Советская;98В
Свердловская обл;Тугулымский р-н;;пгт Тугулым;ул Школьная;9
Челябинская обл;;г Чебаркуль;;ул Октябрьская;58/1
Московская обл;г Наро-Фоминск;г Апрелевка;;ул Февральская;14
Амурская обл;;г Благовещенск;;ул Амурская;4
Алтайский край;Тальменский р-н;;рп Тальменка;ул Вокзальная;34
Саратовская обл;;г Саратов;;ш Ново-Астраханское;81
Костромская обл;Шарьинский р-н;г Шарья;;ул Костромская;1Б
Волгоградская обл;Городищенский р-н;;рп Городище;ул Дорожников;4
Новгородская обл;;г Великий Новгород;;ул Большая Санкт-Петербургская;95/1
Нижегородская обл;;г Выкса;с Чупалейка;ул Красные Зори;99
Кемеровская область - Кузбасс;Тяжинский р-н;пгт Тяжинский;;ул Кирова;15
Амурская обл;Мазановский р-н;;с Новокиевский Увал;ул В.Орловой;6
Тверская обл;;г Тверь;;пр-кт Октябрьский;40/42
Свердловская обл;;г Нижний Тагил;;ул Карла Маркса;65
Омская обл;Полтавский р-н;;рп Полтавка;ул Победы;33
Архангельская обл;Вельский р-н;г Вельск;;ул Октябрьская;25
Приморский край;;г Большой Камень;;ул Гагарина;16Б
Вологодская обл;Вожегодский р-н;;рп Вожега;ул Связи;5
Самарская обл;;г Самара;;ш Ракитовское;2
Алтайский край;Ключевский р-н;;с Ключи;ул Центральная;9Б
Новосибирская обл;Венгеровский р-н;;с Венгерово;ул Ленина;48
Тверская обл;;пгт Селижарово;;пер Школьный;18
Волгоградская обл;;г Волгоград;;ул Джаныбековская;2А
Алтайский край;Романовский р-н;;с Романово;ул Крупская;47А
Омская обл;Любинский р-н;;рп Любинский;ул Рабочая;2Б
Кемеровская область - Кузбасс;;г Новокузнецк;р-н Центральный;ул Рудокопровая;22
Сахалинская обл;;г Южно-Сахалинск;;ул Ленина;1Н
Оренбургская обл;;г Оренбург;;ул Транспортная;4
Свердловская обл;;г Нижний Тагил;;ул Энтузиастов;4
Алтайский край;Завьяловский р-н;;с Завьялово;ул Интернациональная;1А
Волгоградская обл;;г Михайловка;;ул Фрунзе;105
Ульяновская обл;;г Ульяновск;;ул Димитрова;26А
Тульская обл;Плавский р-н;г Плавск;;ул Заводская;1
Алтайский край;Косихинский р-н;;с Косиха;ул Советская;1
Ярославская обл;Гаврилов-Ямский р-н;г Гаврилов-Ям;;ул Чапаева;19А
Курганская обл;;г Курган;;ул Коли Мяготина;12
Костромская обл;Солигаличский р-н;г Солигалич;;ул К.Либкнехта;4
Московская обл;;г Химки;;ул Заводская;2
Ямало-Ненецкий АО;;г Ноябрьск;мкр Н;;21Б
Респ Мордовия;;г Ковылкино;;ул Пролетарская;2Б
Курганская обл;Целинный р-н;;с Целинное;ул Кооперативная;29
Воронежская обл;Борисоглебский р-н;г Борисоглебск;;ул Матросовская;118А
Московская обл;г Орехово-Зуево;г Куровское;;ул Советская;105
Новгородская обл;Боровичский р-н;г Боровичи;;ул Понтонная;3
Оренбургская обл;;г Орск;;ул Новотроицкое шоссе;62А
Хабаровский край;;г Комсомольск-на-Амуре;;ул Димитрова;11
Курганская обл;Половинский р-н;;с Половинное;ул Мостовая;4
Кемеровская область - Кузбасс;;г Новокузнецк;р-н Куйбышевский;ш Кондомское;6А
Респ Дагестан;;г Махачкала;мкр М-5;ул Славы;3
Рязанская обл;Ряжский р-н;г Ряжск;;ул Дзержинского;19
Челябинская обл;Октябрьский р-н;;с Октябрьское;ул Восточная;102
Московская обл;;г Дубна;;пр-кт Боголюбова;46
Тюменская обл;;г Тюмень;;ул Калужская;59
Тульская обл;Веневский р-н;г Венев;;ул Бундурина;6В
Красноярский край;;г Канск;;ул Гаражная;1
Саратовская обл;;г Саратов;;ул Большая Казачья;35
Свердловская обл;Тавдинский р-н;г Тавда;;ул Кирова;3Б
Магаданская обл;;г Магадан;;ш Марчеканское;44
Белгородская обл;Чернянский р-н;;п Чернянка;ул Железнодорожная;40/2
Респ Башкортостан;;г Сибай;;ш Восточное;1/4А
Респ Северная Осетия - Алания;Моздокский р-н;;ст-ца Луковская;ул Усанова;М
Воронежская обл;Аннинский р-н;;пгт Анна;ул Красноармейская;11А
Оренбургская обл;Илекский р-н;;с Илек;ул Мира;8
Омская обл;Тевризский р-н;;рп Тевриз;ул Запольского;2Б
Краснодарский край;Динской р-н;;ст-ца Динская;ул Садовая;20А
Ставропольский край;Минераловодский р-н;г Минеральные Воды;;ул Железноводская;62
Кемеровская область - Кузбасс;;г Новокузнецк;р-н Куйбышевский;ул Димитрова;8
г Санкт-Петербург;;;;ул Шкапина;51
Новосибирская обл;Венгеровский р-н;;с Венгерово;ул Леонова;1
Тюменская обл;Викуловский р-н;;с Викулово;ул Первомайская;66А
Респ Коми;;г Ухта;;ш Бельгопское;1
Респ Мордовия;;г Саранск;;ш Северо-восточное;12
Ямало-Ненецкий АО;;г Салехард;;ул Геологов;5
Омская обл;Саргатский р-н;;рп Саргатское;ул 50 лет Победы;4
Пермский край;;г Чусовой;;ул Чайковского;29
Архангельская обл;Няндомский р-н;г Няндома;;ул Красноармейская;107
Ставропольский край;Петровский р-н;г Светлоград;;ул 1-я Фабричная;2Б
Челябинская обл;Пластовский р-н;г Пласт;;ул Почтовая;14
Алтайский край;;г Барнаул;;ул Пивоварская;176
Свердловская обл;;г Березовский;тер п.ЦОФ;;5
Алтайский край;Панкрушихинский р-н;;с Панкрушиха;ул Ленина;14
Архангельская обл;Виноградовский р-н;;п Березник;ул П.Виноградова;207В
Респ Карелия;;г Петрозаводск;р-н Первомайский;ул Шотмана;34
Кировская обл;Вятскополянский р-н;г Вятские Поляны;;ул Ленина;333
Кировская обл;Котельничский р-н;г Котельнич;;ул Дениса Белых;2А
Архангельская обл;Няндомский р-н;г Няндома;;ул Фадеева;6А
Брянская обл;;г Брянск;;ул Литейная;11
Иркутская обл;;г Братск;п/р П 17;;69/1
Краснодарский край;Северский р-н;;ст-ца Северская;ул Первомайская;100А
г Санкт-Петербург;;;;пр-кт Екатерининский;1
Воронежская обл;Ольховатский р-н;;п Заболотовка;ул Базарная;1Н
Нижегородская обл;;г Выкса;;ш Досчатинское;44
Ростовская обл;;г Ростов-на-Дону;;ул Доватора;159
Астраханская обл;;г Астрахань;;ул 3-я Зеленгинская;17
Пермский край;Карагайский р-н;;с Карагай;ул Чкалова;75
Орловская обл;Кромской р-н;;пгт Кромы;ул 25 Октября;29
Липецкая обл;Становлянский р-н;;с Становое;ул Московская;66
Липецкая обл;;г Липецк;;проезд Универсальный;7А
Архангельская обл;Каргопольский р-н;г Каргополь;;ул Ленинградская;30
Свердловская обл;Тавдинский р-н;г Тавда;;ул Павлика Морозова;16В
Архангельская обл;;г Северодвинск;;ш Архангельское;24
Московская обл;г Дмитров;;;ул Промышленная;1
Краснодарский край;Крымский р-н;г Крымск;;ул Торговая;4
Респ Мордовия;;г Саранск;;ул Промышленная 2-я;44
Респ Кабардино-Балкарская;;г Прохладный;;ул Головко;94
Свердловская обл;;г Верхний Тагил;;ул Свободы;39
Респ Саха /Якутия/;;г Якутск;;дор Окружная;78
Приморский край;;г Владивосток;;ул Военное Шоссе;34
Ставропольский край;Изобильненский р-н;г Изобильный;;ул 50 лет Октября;33В
Амурская обл;Завитинский р-н;г Завитинск;;ул Кооперативная;42
Томская обл;;г Томск;;ул Айвазовского;27
Респ Удмуртская;Кезский р-н;;п Кез;ул Герцена;14
Ставропольский край;Апанасенковский р-н;;с Дивное;ул Солнечная;3
Алтайский край;Третьяковский р-н;;с Староалейское;ул Шоссейная;3В
Ростовская обл;Сальский р-н;г Сальск;;ул Ватутина;10
Забайкальский край;Газимуро-Заводский р-н;;с Газимурский Завод;ул Журавлева;3А
Омская обл;;г Омск;;ул Панфилова;5
Орловская обл;;г Орёл;;пер Маслозаводской;29
Краснодарский край;;г Сочи;;ул Ромашек;1
Волгоградская обл;;г Волгоград;;ул им. Менделеева;83
Краснодарский край;Темрюкский р-н;;ст-ца Тамань;ул Карла Маркса;116Г
Челябинская обл;;г Южноуральск;;ул Спортивная;11
Респ Крым;Белогорский р-н;г Белогорск;;ул Бирлик;9А
Волгоградская обл;;г Волгоград;;проезд Мостовой;6
Томская обл;;г Томск;;ул Ракетная;6Б
Московская обл;г Орехово-Зуево;;;ш Малодубенское;7Б
Респ Удмуртская;Дебёсский р-н;;с Дебёсы;ул Радищева;26А
Курганская обл;Альменевский р-н;;с Альменево;ул В.И.Ленина;87
Респ Башкортостан;Караидельский р-н;;с Караидель;ул Мира;11
Московская обл;;г Можайск;д Ямская;;2А
Курганская обл;Притобольный р-н;;с Глядянское;ул Советская;17
Волгоградская обл;;г Михайловка;;ул Народная;79
г Санкт-Петербург;;;тер Горелово;ш Красносельское;40
Курганская обл;Кетовский р-н;;с Введенское;ул 250 км трассы Байкал;4
Смоленская обл;Руднянский р-н;г Рудня;;ул Киреева;2З
Респ Карелия;;г Сортавала;;ул Горького;25
Ростовская обл;Чертковский р-н;;с Маньково-Калитвенское;пер Почтовый;99А
Мурманская обл;;г Мурманск;;ул Шабалина;29
Красноярский край;Абанский р-н;;п Абан;ул Советская;33
Респ Тыва;;г Кызыл;;ул Оюна Курседи;104
Омская обл;Любинский р-н;;рп Красный Яр;ул Дорожная;5
Тюменская обл;Сорокинский р-н;;с Большое Сорокино;ул Карбышева;1Ж
Омская обл;;г Омск;;ул 4-я Транспортная;11
Респ Карелия;;г Сортавала;;ул Швейников;9
Белгородская обл;Прохоровский р-н;;пгт Прохоровка;ул Советская;222
Московская обл;г Орехово-Зуево;г Куровское;;ул Советская;84
Московская обл;г Сергиев Посад;;;ш Новоугличское;73
Ростовская обл;Зерноградский р-н;г Зерноград;;ул Специалистов;69Б
Тульская обл;;г Тула;;ул Кирова;25
Новосибирская обл;;г Новосибирск;;ул Авиастроителей;37/1
Новосибирская обл;Убинский р-н;;с Убинское;ул Молодежная;19
Алтайский край;Павловский р-н;;с Павловск;ул Калинина;78
Кировская обл;Слободской р-н;;д Стулово;ул Трактовая;47Б
Тульская обл;Щекинский р-н;г Щекино;;ул Молодежная;2Б
Архангельская обл;Котласский р-н;г Котлас;;проезд Промышленный тупик;3
г Санкт-Петербург;;;;пр-кт Юрия Гагарина;32
Хабаровский край;;г Хабаровск;;ул Тихоокеанская;47А
Воронежская обл;Богучарский р-н;г Богучар;;ул Дзержинского;47
Респ Мордовия;Дубенский р-н;;с Дубенки;ул Сергея Бурнаева;54
Ленинградская обл;Гатчинский р-н;г Коммунар;;ул Сельская;89
Новгородская обл;;г Великий Новгород;;ул Радищева;6
Волгоградская обл;Котельниковский р-н;г Котельниково;;ул Северная;5
Алтайский край;Локтевский р-н;г Горняк;;ул Миронова;19
Белгородская обл;Ракитянский р-н;;п Пролетарский;ул Железнодорожная;5
Алтайский край;;г Славгород;;ул Тимирязева;72
Ивановская обл;;г Тейково;;ул Фрунзенская;10Б
Московская обл;;г Раменское;д Трошково;ул Шоссейная;47
Саратовская обл;;г Саратов;;ул Крайняя;127
Волгоградская обл;Николаевский р-н;г Николаевск;;ул Республиканская;74/1
Краснодарский край;Красноармейский р-н;;ст-ца Полтавская;ул Народная;157/5
Красноярский край;;г Назарово;;ул 1-я Коммунальная;4
Новосибирская обл;Чановский р-н;;рп Чаны;ул Некрасова;239А
Новосибирская обл;Маслянинский р-н;;рп Маслянино;ул Парковая;94
Краснодарский край;Динской р-н;;ст-ца Динская;ул Кирова;108
Московская обл;г Ногинск;;тер автомобильная дорога М-7 Волга;км 34-ый;3
Тюменская обл;Абатский р-н;;с Абатское;ул Логиновых;1
Рязанская обл;;г Рязань;;ул Есенина;116/1
Амурская обл;;г Благовещенск;;ул Ленина;203/3
Архангельская обл;;г Архангельск;;пр-кт Московский;10
Московская обл;г Коломна;;;пр-кт Окский;4А
Респ Татарстан;Ютазинский р-н;;пгт Уруссу;ул Пушкина;1А
Псковская обл;Невельский р-н;г Невель;;ул М.Маметовой;4
Респ Мордовия;;г Саранск;;ул Севастопольская;115
Омская обл;;г Омск;;ул 22 Декабря;106
Алтайский край;;г Славгород;;ул Володарского;195
Вологодская обл;Тотемский р-н;г Тотьма;;ул Белоусовская;60
Респ Крым;;г Алушта;;ул Западная;1А
Московская обл;г Сергиев Посад;г Хотьково;;ул Заводская;16
Челябинская обл;;г Магнитогорск;;ул Кирова;71
Ямало-Ненецкий АО;Пуровский р-н;г Тарко-Сале;;ул Промышленная;10
Забайкальский край;Петровск-Забайкальский р-н;;с Малета;ул Пионерская;8
Московская обл;г Воскресенск;;;ул Лермонтова;1
Брянская обл;Карачевский р-н;г Карачев;;ул Карла Либкнехта;29
Курганская обл;Каргапольский р-н;;рп Каргаполье;ул Грейдерная;1Г
Кемеровская область - Кузбасс;;г Анжеро-Судженск;;ул С.Перовской;39
Алтайский край;Каменский р-н;г Камень-на-Оби;;ул Терешковой;58
Тверская обл;Конаковский р-н;;пгт Новозавидовский;ул Советская;1
Тульская обл;Щекинский р-н;г Щекино;;ул Новая;2
Приморский край;;г Владивосток;;пр-кт 100-летия Владивостока;122
Ростовская обл;Красносулинский р-н;г Красный Сулин;;ул Придорожная;3
Алтайский край;;г Барнаул;;тракт Павловский;83А
Пермский край;;г Кизел;;ул Советская;7
Курганская обл;Сафакулевский р-н;;с Сафакулево;ул Чапаева;6
Смоленская обл;Угранский р-н;;с Угра;ул Десантная;19
Ямало-Ненецкий АО;;г Новый Уренгой;;пр-кт Мира;26
Кировская обл;Омутнинский р-н;г Омутнинск;;ул Спортивная;1А
Иркутская обл;;г Черемхово;;ул Декабрьских Событий;1А
Приморский край;;г Спасск-Дальний;;ул Вокзальная;43А
г Москва;;;;ул 9-я Парковая;41
Псковская обл;Новосокольнический р-н;г Новосокольники;;ул Тихмянова;9
Алтайский край;Троицкий р-н;;с Троицкое;ул 60 лет Октября;43
Алтайский край;Смоленский р-н;;с Смоленское;ул Горная;2А
